source,target,value
"Cases Pending Trial from the Previous Year",Total,118537
"Cases Sent for Trial During the Year",Total,33628
Total,"Cases Pending Investigation at the End of the Year",133373
Total,"Cases in Which Trials were Completed",18552
Total,"No. of Cases Disposed by Plea Bargaining",25
Total,"Cases Compounded",215
"Cases in Which Trials were Completed", "Cases Convicted", 4739
"Cases in Which Trials were Completed", "Cases Acquitted or Discharged", 13813
