source,target,value
"Cases awaiting trial at the end of 2015",Total cases sent for trial in 2016,118537
"Cases sent for trial in 2016",Total cases awaiting trial in 2016,33628
Total cases awaiting trial in 2016,Cases awaiting trial at the end of 2016,133373
Total cases awaiting trial in 2016,Trials completed,18552
Total cases awaiting trial in 2016,Plea Bargaining,25
Total cases awaiting trial in 2016,Compounded,215
Trials completed, Conviction, 4739
Trials completed, Acquittal or Discharge, 13813
